Id?bélyeg,"1. Mennyire elfogadható számodra, ha egy családi beszélgetésben így beszélnek, azaz ezt a nyelvváltozatot hallod?","2. Az els? hangfelvételen hallható nyelvváltozat olyan-e, mint ahogyan a tágabb környezetedben beszélnek?","3. Mennyire elfogadható számodra, ha egy családi beszélgetésben így beszélnek, azaz ezt a nyelvváltozatot hallod?","4. A második hangfelvételen hallható nyelvváltozat olyan-e, mint ahogyan a tágabb környezetedben beszélnek?","5. Mennyire elfogadható számodra, ha egy családi beszélgetésben így beszélnek, azaz ezt a nyelvváltozatot hallod?","6. A harmadik hangfelvételen hallható nyelvváltozat olyan-e, mint ahogyan a tágabb környezetedben beszélnek?","7. Mennyire elfogadható számodra, ha a televízióban hallod ezt nyelvváltozatot?","8. Mennyire elfogadható számodra, ha a televízióban hallod ezt nyelvváltozatot?","9. Mennyire elfogadható számodra, ha a televízióban hallod ezt nyelvváltozatot?",10. Hogyan értékelnéd saját régiód nyelvváltozatát – nyelvjárását?,11. Mely helyzetekben használod a saját nyelvváltozatodat – nyelvjárásodat? (Több választ is megjelölhetsz!),12. Véleményed szerint te ismered a saját régiód nyelvjárását?,13. Szerinted el?ny vagy hátrány a nyelvjárás ismerete?,14. Mely helyzetekben használsz köznyelvi változatot? (Több választ is megjelölhetsz!),15. Véleményed szerint beszéled a magyarországi magyar köznyelvet?,16. Szerinted van különbség a Magyarországon és a Szlovákiában használt magyar nyelv között?,"17. Tett-e már valaki megjegyzést arra, ahogyan beszéltél?","18. Amennyiben tett már valaki megjegyzést a beszédedre, milyen helyzetben történt? Mit kifogásoltak? ",19. Mi a nemed?,20. Mi a nemzetiséged?,21. Mi az anyanyelved?,22. Melyik településen élsz?,23. Milyen típusú iskola diákja vagy?,24. Hányadik osztályba jársz?,25. Milyen nyelven zajlik az oktatás az iskoládban?
5/27/2022 17:27:00,inkább elfogadható,hasonlít,nem tudom megítélni,hasonlít,teljesen elfogadható,igen,teljesen elfogadható,inkább elfogadható,teljesen elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal",szerintem elég jól,el?ny,"iskolában az órákon, magyarországi magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,nem tudom,nem,,lány,magyar,magyar,K?hídgyarmat,gimnázium,1.,magyar és szlovák nyelven is
5/27/2022 17:29:22,teljesen elfogadható,hasonlít,teljesen elfogadható,hasonlít,teljesen elfogadható,igen,teljesen elfogadható,inkább elfogadható,inkább elfogadható,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben",szerintem elég jól,nem tudom,"e-mailben, SMS-ben, chaten",talán egy kicsit,igen,nem,,fiú,magyar,magyar,Bátorkeszi,gimnázium,1.,magyar és szlovák nyelven is
5/27/2022 17:31:52,inkább elfogadható,nem,inkább elfogadható,hasonlít,inkább elfogadható,nem,teljesen elfogadható,teljesen elfogadható,inkább elfogadható,inkább tetszik,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal",szerintem elég jól,el?ny,"iskolában az órákon, magyarországi magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",igen,igen,igen,Magyarországi magyar közegben a nyelvjárásomat kifogásolták.,lány,magyar,magyar,Párkány,gimnázium,1.,magyar és szlovák nyelven is
5/27/2022 17:34:00,teljesen elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,hasonlít,inkább elfogadható,nem tudom megítélni,nem tudom megítélni,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, e-mailben, SMS-ben, chaten",talán egy kicsit,nem tudom,"iskolában az órákon, magyarországi magyarokkal, levélben vagy fogalmazás írása közben",szerintem elég jól,igen,igen,"Szlovákiai magyar emberrel beszéltem, megjegyezte, hogy magyaros a kiejtésem.",fiú,magyar,magyar,Szalka,gimnázium,1.,magyar és szlovák nyelven is
5/27/2022 17:35:36,teljesen elfogadható,nem,teljesen elfogadható,igen,teljesen elfogadható,igen,inkább elfogadható,inkább elfogadható,inkább elfogadható,inkább nem tetszik,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,el?ny,"szlovákiai magyarokkal, semmilyen helyzetben",talán egy kicsit,igen,nem,,lány,magyar,magyar,Karva,gimnázium,1.,magyar és szlovák nyelven is
5/27/2022 17:37:23,inkább elfogadható,hasonlít,teljesen elfogadható,hasonlít,nem tudom megítélni,hasonlít,teljesen elfogadható,teljesen elfogadható,teljesen elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal",talán egy kicsit,el?ny,"családi beszélgetésben, baráti beszélgetésben, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,igen,nem,,lány,magyar,magyar,Párkány,gimnázium,1.,magyar és szlovák nyelven is
5/27/2022 17:39:20,teljesen elfogadható,nem,teljesen elfogadható,nem tudom,teljesen elfogadható,nem tudom,teljesen elfogadható,inkább nem elfogadható,nem tudom megítélni,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",inkább nem,nem tudom,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,igen,nem,,fiú,magyar,magyar,Párkány,gimnázium,1.,magyar nyelven
5/27/2022 17:41:02,inkább elfogadható,hasonlít,teljesen elfogadható,igen,teljesen elfogadható,hasonlít,inkább elfogadható,nem tudom megítélni,inkább elfogadható,inkább tetszik,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal",talán egy kicsit,el?ny,"családi beszélgetésben, baráti beszélgetésben, magyarországi magyarokkal, szlovákiai magyarokkal",talán egy kicsit,igen,nem,,lány,magyar,magyar,Párkány,gimnázium,1.,magyar és szlovák nyelven is
5/27/2022 17:43:24,inkább elfogadható,nem,nem tudom megítélni,hasonlít,inkább elfogadható,igen,inkább elfogadható,inkább nem elfogadható,inkább nem elfogadható,inkább nem tetszik,semmilyen helyzetben,inkább nem,el?ny,"családi beszélgetésben, baráti beszélgetésben",talán egy kicsit,igen,nem,,lány,magyar,magyar,Párkány,gimnázium,1.,magyar és szlovák nyelven is
5/27/2022 17:45:05,teljesen elfogadható,hasonlít,teljesen elfogadható,nem,teljesen elfogadható,nem,teljesen elfogadható,teljesen elfogadható,teljesen elfogadható,semleges,"családi beszélgetésben, baráti beszélgetésben",inkább nem,el?ny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",talán egy kicsit,igen,nem,,lány,magyar,magyar,Érsekújvár,gimnázium,1.,magyar nyelven
5/27/2022 17:46:53,teljesen elfogadható,nem,teljesen elfogadható,nem,teljesen elfogadható,nem,teljesen elfogadható,inkább nem elfogadható,inkább nem elfogadható,semleges,"családi beszélgetésben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,el?ny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",igen,igen,nem,,lány,magyar,magyar,Párkány,gimnázium,1.,magyar nyelven
5/27/2022 17:48:51,inkább elfogadható,hasonlít,teljesen elfogadható,hasonlít,teljesen elfogadható,hasonlít,teljesen elfogadható,nem tudom megítélni,inkább elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, szlovákiai magyarokkal",szerintem elég jól,el?ny,"iskolában a szünetben, iskolában az órákon, levélben vagy fogalmazás írása közben",szerintem elég jól,igen,igen,"Beszélgetés közben azt, hogy beszéljek magyarosabban",lány,magyar,magyar,Párkány,gimnázium,1.,magyar nyelven
5/27/2022 17:51:07,teljesen elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,inkább elfogadható,teljesen elfogadható,inkább tetszik,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",szerintem elég jól,el?ny,"iskolában az órákon, magyarországi magyarokkal, levélben vagy fogalmazás írása közben",szerintem elég jól,igen,igen,Beszélgetés közben a kiejtésemre.,lány,magyar,magyar,Érsekkéty,gimnázium,1.,magyar nyelven
5/27/2022 17:53:31,inkább elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,hasonlít,nem tudom megítélni,inkább nem elfogadható,inkább nem elfogadható,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal",talán egy kicsit,el?ny,"baráti beszélgetésben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,igen,igen,"Az iskolában történt, mindenki teljesen máshogy beszélt és furának/nevetségesnek tartották az én beszédstílusomat. Azóta odafigyelek erre.",lány,magyar,magyar,Szalka,gimnázium,1.,magyar nyelven
5/27/2022 17:55:03,inkább elfogadható,hasonlít,inkább elfogadható,igen,teljesen elfogadható,igen,nem tudom megítélni,inkább nem elfogadható,inkább nem elfogadható,inkább tetszik,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, e-mailben, SMS-ben, chaten",talán egy kicsit,el?ny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben",inkább nem,igen,nem,,fiú,magyar,magyar,Köbölkút,gimnázium,1.,magyar és szlovák nyelven is
5/27/2022 17:56:51,nem tudom megítélni,nem tudom,nem tudom megítélni,nem tudom,inkább elfogadható,hasonlít,inkább nem elfogadható,nem tudom megítélni,inkább elfogadható,semleges,"baráti beszélgetésben, iskolában az órákon, e-mailben, SMS-ben, chaten",szerintem elég jól,nem tudom,"családi beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",igen,igen,igen,"A szavakat, amiket, hogy szerinte furcsa.",lány,magyar,magyar,Búcs,gimnázium,1.,magyar és szlovák nyelven is
5/27/2022 17:59:38,teljesen elfogadható,nem,inkább elfogadható,hasonlít,inkább elfogadható,hasonlít,teljesen elfogadható,teljesen elfogadható,inkább elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",szerintem elég jól,el?ny,"iskolában az órákon, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",igen,igen,igen,"Egerben voltunk egy verseny Kárpát-medencei fordulóján. Magyaroszági és külhoni magyarok is voltak. A magyaroroszágiak megemlítették nekem, hogy hallatszik rajtam, hogy nem Magyarországról vagyok, van kis tájszólásom és számukra ismeretlen szavakat is használok.",lány,magyar,magyar,Muzsla,gimnázium,2.,magyar és szlovák nyelven is
5/27/2022 18:02:07,inkább elfogadható,hasonlít,inkább elfogadható,hasonlít,inkább elfogadható,hasonlít,teljesen elfogadható,nem tudom megítélni,nem tudom megítélni,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",igen,el?ny,"családi beszélgetésben, baráti beszélgetésben, iskolában az órákon, magyarországi magyarokkal, levélben vagy fogalmazás írása közben",igen,igen,igen,"Egy Budapesti tanfolyamon a tanárom azt mondta, hogy szerinte azért nem merek annyit beszélni mert szlovákiai magyar vagyok és félek, hogy kritizálni fognak.",lány,magyar,magyar,K?hídgyarmat,gimnázium,2.,magyar és szlovák nyelven is
5/27/2022 18:09:59,teljesen elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,teljesen elfogadható,teljesen elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",szerintem elég jól,el?ny,"levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",egyáltalán nem,igen,igen,"Nem értették a szavak jelentését, az akcentrusomon nevettek.",lány,"magyar, szlovák",magyar,"Szlovákia, felvidék (Párkány)",gimnázium,2.,magyar és szlovák nyelven is
5/27/2022 18:12:02,inkább elfogadható,hasonlít,teljesen elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,inkább nem elfogadható,inkább elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, e-mailben, SMS-ben, chaten",szerintem elég jól,el?ny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,igen,igen,"Azt, hogy az ""é"" bet?t ""í""-nek ejtem.",lány,magyar,magyar,Búcs,gimnázium,2.,magyar és szlovák nyelven is
5/27/2022 18:14:00,inkább elfogadható,nem,teljesen elfogadható,igen,inkább elfogadható,igen,teljesen elfogadható,inkább elfogadható,inkább elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben",talán egy kicsit,el?ny,"családi beszélgetésben, iskolában a szünetben",talán egy kicsit,igen,nem,,lány,magyar,magyar,Muzsla,gimnázium,2.,magyar nyelven
5/27/2022 18:15:42,inkább elfogadható,nem,inkább elfogadható,nem,inkább elfogadható,igen,inkább nem elfogadható,inkább elfogadható,inkább elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal",szerintem elég jól,el?ny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, magyarországi magyarokkal, szlovákiai magyarokkal",igen,igen,nem,,fiú,magyar,magyar,Nána,gimnázium,2.,magyar nyelven
5/27/2022 18:17:46,teljesen elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,hasonlít,teljesen elfogadható,inkább elfogadható,teljesen elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, szlovákiai magyarokkal",talán egy kicsit,el?ny,"magyarországi magyarokkal, levélben vagy fogalmazás írása közben",igen,igen,igen,,lány,"magyar, szlovák",szlovák,Ipolykiskeszi,gimnázium,1.,magyar és szlovák nyelven is
5/27/2022 18:20:08,teljesen elfogadható,hasonlít,teljesen elfogadható,hasonlít,teljesen elfogadható,igen,inkább elfogadható,inkább nem elfogadható,inkább nem elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, szlovákiai magyarokkal",talán egy kicsit,el?ny,"magyarországi magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",igen,igen,igen,Lényegében csak a kiejtésemet szólták meg.,fiú,szlovák,magyar,Búcs,gimnázium,2.,magyar és szlovák nyelven is
