Id?bélyeg,"1. Mennyire elfogadható számodra, ha egy családi beszélgetésben így beszélnek, azaz ezt a nyelvváltozatot hallod?","2. Az els? hangfelvételen hallható nyelvváltozat olyan-e, mint ahogyan a tágabb környezetedben beszélnek?","3. Mennyire elfogadható számodra, ha egy családi beszélgetésben így beszélnek, azaz ezt a nyelvváltozatot hallod?","4. A második hangfelvételen hallható nyelvváltozat olyan-e, mint ahogyan a tágabb környezetedben beszélnek?","5. Mennyire elfogadható számodra, ha egy családi beszélgetésben így beszélnek, azaz ezt a nyelvváltozatot hallod?","6. A harmadik hangfelvételen hallható nyelvváltozat olyan-e, mint ahogyan a tágabb környezetedben beszélnek?","7. Mennyire elfogadható számodra, ha a televízióban hallod ezt nyelvváltozatot?","8. Mennyire elfogadható számodra, ha a televízióban hallod ezt nyelvváltozatot?","9. Mennyire elfogadható számodra, ha a televízióban hallod ezt nyelvváltozatot?",10. Hogyan értékelnéd saját régiód nyelvváltozatát – nyelvjárását?,11. Mely helyzetekben használod a saját nyelvváltozatodat – nyelvjárásodat? (Több választ is megjelölhetsz!),12. Véleményed szerint te ismered a saját régiód nyelvjárását?,13. Szerinted el?ny vagy hátrány a nyelvjárás ismerete?,14. Mely helyzetekben használsz köznyelvi változatot? (Több választ is megjelölhetsz!),15. Véleményed szerint beszéled a magyarországi magyar köznyelvet?,16. Szerinted van különbség a Magyarországon és a Szlovákiában használt magyar nyelv között?,"17. Tett-e már valaki megjegyzést arra, ahogyan beszéltél?","18. Amennyiben tett már valaki megjegyzést a beszédedre, milyen helyzetben történt? Mit kifogásoltak? ",19. Mi a nemed?,20. Mi a nemzetiséged?,21. Mi az anyanyelved?,22. Melyik településen élsz?,23. Milyen típusú iskola diákja vagy?,24. Hányadik osztályba jársz?,25. Milyen nyelven zajlik az oktatás az iskoládban?
5/27/2022 18:21:47,teljesen elfogadható,hasonlít,teljesen elfogadható,igen,teljesen elfogadható,hasonlít,teljesen elfogadható,teljesen elfogadható,teljesen elfogadható,inkább tetszik,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal",szerintem elég jól,el?ny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",igen,igen,nem,,fiú,magyar,magyar,Sz?gyén,gimnázium,2.,magyar és szlovák nyelven is
5/27/2022 18:23:19,inkább elfogadható,hasonlít,inkább elfogadható,hasonlít,inkább elfogadható,hasonlít,teljesen elfogadható,nem tudom megítélni,inkább elfogadható,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, e-mailben, SMS-ben, chaten",igen,el?ny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",szerintem elég jól,igen,nem,,lány,magyar,magyar,Kéménd,gimnázium,2.,magyar és szlovák nyelven is
5/27/2022 18:25:02,teljesen elfogadható,hasonlít,teljesen elfogadható,igen,inkább elfogadható,hasonlít,teljesen elfogadható,inkább nem elfogadható,inkább elfogadható,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben",talán egy kicsit,nem tudom,"iskolában az órákon, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",talán egy kicsit,igen,nem,,fiú,magyar,magyar,Karva,gimnázium,2.,magyar és szlovák nyelven is
5/27/2022 18:27:04,teljesen elfogadható,hasonlít,teljesen elfogadható,hasonlít,teljesen elfogadható,hasonlít,nem tudom megítélni,inkább nem elfogadható,inkább nem elfogadható,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal",szerintem elég jól,el?ny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, magyarországi magyarokkal, szlovákiai magyarokkal",talán egy kicsit,igen,igen,"Egy baráti beszélgetés alatt történt, amiért másképp használtam az adott szavakat.",lány,"magyar, szlovák",magyar,Szalka,gimnázium,2.,magyar és szlovák nyelven is
5/27/2022 18:29:16,teljesen elfogadható,hasonlít,inkább elfogadható,hasonlít,teljesen elfogadható,hasonlít,inkább elfogadható,inkább nem elfogadható,inkább nem elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal",szerintem elég jól,el?ny,"magyarországi magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",igen,igen,igen,"A nyelvjárásomból ered? hanglejtést, beszédmódot kritizálták.",lány,magyar,magyar,Sárkányfalva,gimnázium,2.,magyar és szlovák nyelven is
5/27/2022 18:31:21,teljesen elfogadható,nem,teljesen elfogadható,igen,teljesen elfogadható,igen,inkább elfogadható,inkább nem elfogadható,inkább elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal",igen,el?ny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,igen,igen,"Olyan szót használtam egy tárgy megnevezésére, amelyet csak a mi nyelvjárásunkban használnak rá.",fiú,magyar,magyar,Párkány,gimnázium,2.,magyar és szlovák nyelven is
5/27/2022 18:32:54,teljesen elfogadható,hasonlít,teljesen elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,nem tudom megítélni,inkább nem elfogadható,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben",talán egy kicsit,el?ny,"iskolában az órákon, magyarországi magyarokkal",szerintem elég jól,igen,nem,,fiú,magyar,magyar,Párkány,gimnázium,2.,magyar nyelven
5/27/2022 18:34:29,inkább elfogadható,nem,teljesen elfogadható,hasonlít,teljesen elfogadható,hasonlít,inkább elfogadható,nem tudom megítélni,inkább elfogadható,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",igen,el?ny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",igen,igen,nem,,fiú,magyar,magyar,Párkány,gimnázium,2.,magyar nyelven
5/27/2022 18:37:09,inkább nem elfogadható,nem,nem tudom megítélni,hasonlít,inkább elfogadható,hasonlít,nem tudom megítélni,inkább elfogadható,inkább elfogadható,semleges,"baráti beszélgetésben, iskolában a szünetben, e-mailben, SMS-ben, chaten",talán egy kicsit,el?ny,"családi beszélgetésben, baráti beszélgetésben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,igen,igen,"Játszás közben (online), kiejétsben, de nem negatív megjegyzés volt.",fiú,magyar,magyar,Párkány,gimnázium,2.,magyar nyelven
5/27/2022 18:39:21,inkább elfogadható,nem,teljesen elfogadható,hasonlít,teljesen elfogadható,hasonlít,inkább nem elfogadható,inkább nem elfogadható,teljesen elfogadható,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben",szerintem elég jól,el?ny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",talán egy kicsit,igen,igen,"Több évet jártam iskolába Magyarországon, és egyszer az osztálytársaim megjegyezték, hogy hallani, hogy máshogy beszélek.",lány,magyar,magyar,Sz?gyén,gimnázium,2.,magyar és szlovák nyelven is
5/27/2022 18:41:20,inkább elfogadható,nem,inkább elfogadható,igen,inkább elfogadható,hasonlít,teljesen elfogadható,nem tudom megítélni,inkább elfogadható,semleges,"családi beszélgetésben, szlovákiai magyarokkal",szerintem elég jól,el?ny,"baráti beszélgetésben, iskolában az órákon, e-mailben, SMS-ben, chaten",talán egy kicsit,igen,igen,"Pozitív megjegyzésnek mondanám mivel kifejezetten tetszett nekik az, hogy picit máshogy beszélek.",fiú,magyar,magyar,Párkány,gimnázium,3.,magyar nyelven
5/27/2022 18:42:46,teljesen elfogadható,igen,inkább elfogadható,nem,inkább elfogadható,hasonlít,inkább elfogadható,nem tudom megítélni,inkább elfogadható,inkább tetszik,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben",talán egy kicsit,el?ny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, szlovákiai magyarokkal",szerintem elég jól,igen,igen,megdicsérték,lány,magyar,magyar,Párkány,gimnázium,3.,magyar nyelven
5/27/2022 18:45:04,inkább elfogadható,hasonlít,inkább nem elfogadható,hasonlít,teljesen elfogadható,igen,inkább elfogadható,inkább nem elfogadható,inkább elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, szlovákiai magyarokkal",szerintem elég jól,el?ny,"magyarországi magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",talán egy kicsit,igen,igen,"Magyarországon egy bevásárlóközpontban egy vásárlónak nem tetszett az, ahogyan mi beszélünk, parasztosnak/maradinak találta.",lány,magyar,magyar,Érsekkéty,gimnázium,3.,magyar és szlovák nyelven is
5/27/2022 18:47:04,teljesen elfogadható,hasonlít,teljesen elfogadható,hasonlít,teljesen elfogadható,hasonlít,teljesen elfogadható,teljesen elfogadható,teljesen elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",szerintem elég jól,el?ny,levélben vagy fogalmazás írása közben,talán egy kicsit,igen,igen,"tanulmányi kirándulás és magyaroszági iskolával, de tetszett nekik, ahogyan beszéltünk",lány,magyar,magyar,Búcs,gimnázium,3.,magyar és szlovák nyelven is
5/27/2022 18:53:26,teljesen elfogadható,hasonlít,teljesen elfogadható,hasonlít,teljesen elfogadható,hasonlít,teljesen elfogadható,inkább elfogadható,teljesen elfogadható,inkább tetszik,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal",talán egy kicsit,el?ny,"iskolában az órákon, magyarországi magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,igen,nem,,lány,"magyar, szlovák",magyar,Búcs,gimnázium,3.,magyar és szlovák nyelven is
5/27/2022 18:54:58,teljesen elfogadható,hasonlít,teljesen elfogadható,hasonlít,teljesen elfogadható,igen,inkább elfogadható,inkább elfogadható,inkább nem elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, magyarországi magyarokkal, szlovákiai magyarokkal",talán egy kicsit,el?ny,"iskolában az órákon, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",igen,igen,nem,,lány,magyar,magyar,Muzsla,gimnázium,3.,magyar és szlovák nyelven is
5/27/2022 18:56:30,teljesen elfogadható,hasonlít,inkább elfogadható,hasonlít,teljesen elfogadható,igen,teljesen elfogadható,inkább nem elfogadható,inkább elfogadható,semleges,"családi beszélgetésben, baráti beszélgetésben",talán egy kicsit,el?ny,"iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",talán egy kicsit,igen,nem,,lány,magyar,magyar,Béla,gimnázium,3.,magyar és szlovák nyelven is
5/27/2022 18:58:21,teljesen elfogadható,hasonlít,teljesen elfogadható,hasonlít,teljesen elfogadható,hasonlít,teljesen elfogadható,inkább elfogadható,teljesen elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, szlovákiai magyarokkal",igen,el?ny,"iskolában az órákon, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",igen,nem,nem,,lány,magyar,magyar,Érsekkéty,gimnázium,3.,magyar és szlovák nyelven is
5/27/2022 19:00:24,teljesen elfogadható,nem,teljesen elfogadható,nem,teljesen elfogadható,hasonlít,teljesen elfogadható,teljesen elfogadható,teljesen elfogadható,inkább tetszik,semmilyen helyzetben,szerintem elég jól,el?ny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",igen,igen,nem,"Nem beszélek nyelvjárással, tehát ilyen ""gondom"" még nem volt.",lány,"magyar, szlovák",magyar,Párkány,gimnázium,3.,magyar és szlovák nyelven is
5/27/2022 19:01:59,teljesen elfogadható,hasonlít,inkább elfogadható,hasonlít,inkább elfogadható,hasonlít,inkább elfogadható,nem tudom megítélni,inkább elfogadható,inkább tetszik,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal",szerintem elég jól,el?ny,"iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,igen,nem,,fiú,magyar,magyar,K?hídgyarmat,gimnázium,3.,magyar és szlovák nyelven is
5/27/2022 19:03:27,inkább nem elfogadható,nem,inkább elfogadható,hasonlít,inkább nem elfogadható,nem,inkább elfogadható,inkább nem elfogadható,nem tudom megítélni,inkább nem tetszik,semmilyen helyzetben,talán egy kicsit,nem tudom,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,igen,nem,,fiú,magyar,magyar,Nána,gimnázium,3.,magyar és szlovák nyelven is
5/27/2022 19:04:56,teljesen elfogadható,nem,teljesen elfogadható,hasonlít,teljesen elfogadható,hasonlít,inkább elfogadható,inkább elfogadható,teljesen elfogadható,inkább tetszik,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, e-mailben, SMS-ben, chaten",szerintem elég jól,el?ny,"iskolában az órákon, magyarországi magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,igen,nem,,fiú,szlovák,magyar,Sz?gyén,gimnázium,3.,magyar nyelven
5/27/2022 19:06:41,inkább elfogadható,nem,inkább elfogadható,nem,inkább elfogadható,nem,inkább elfogadható,inkább nem elfogadható,nem tudom megítélni,inkább tetszik,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, magyarországi magyarokkal, szlovákiai magyarokkal",talán egy kicsit,el?ny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, levélben vagy fogalmazás írása közben",szerintem elég jól,igen,igen,Kiejtés,lány,magyar,magyar,Párkány,gimnázium,3.,magyar és szlovák nyelven is
5/27/2022 19:08:42,inkább elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,igen,inkább elfogadható,inkább nem elfogadható,inkább nem elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, szlovákiai magyarokkal",szerintem elég jól,el?ny,"családi beszélgetésben, baráti beszélgetésben, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",talán egy kicsit,igen,igen,"Kifogásolták a nyelvjárásomat, parasztos beszédnek tartották",lány,magyar,magyar,Érsekkéty,gimnázium,3.,magyar és szlovák nyelven is
5/27/2022 19:10:33,nem tudom megítélni,nem,nem tudom megítélni,nem,inkább elfogadható,nem,inkább elfogadható,inkább nem elfogadható,egyáltalán nem elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, e-mailben, SMS-ben, chaten",szerintem elég jól,el?ny,"iskolában az órákon, levélben vagy fogalmazás írása közben",szerintem elég jól,igen,igen,"furcsa volt a kiejtésem, de legtöbbször megjegyzéseket mondtak.",fiú,magyar,magyar,Párkány,gimnázium,3.,magyar és szlovák nyelven is
5/27/2022 19:12:07,inkább elfogadható,nem,inkább elfogadható,hasonlít,inkább elfogadható,hasonlít,nem tudom megítélni,inkább nem elfogadható,inkább nem elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal",szerintem elég jól,el?ny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, e-mailben, SMS-ben, chaten",szerintem elég jól,igen,nem,,lány,magyar,magyar,Bátorkeszi,gimnázium,3.,magyar és szlovák nyelven is
5/27/2022 19:15:26,teljesen elfogadható,nem,teljesen elfogadható,hasonlít,teljesen elfogadható,nem,teljesen elfogadható,teljesen elfogadható,teljesen elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, magyarországi magyarokkal, szlovákiai magyarokkal",szerintem elég jól,el?ny,"iskolában az órákon, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",igen,igen,igen,"Ha hivatalos ?gyr?l vagy emberekr?l van szó, túlságosan affektálok, túl magyarosan beszélek.",lány,magyar,magyar,Leléd,gimnázium,3.,magyar nyelven
5/27/2022 19:17:33,teljesen elfogadható,hasonlít,teljesen elfogadható,nem,inkább elfogadható,nem,teljesen elfogadható,inkább elfogadható,inkább elfogadható,semleges,"magyarországi magyarokkal, szlovákiai magyarokkal",talán egy kicsit,el?ny,"baráti beszélgetésben, iskolában a szünetben, e-mailben, SMS-ben, chaten",inkább nem,igen,igen,"nem sért? megjegyzés volt, magyarországi ismer?sök és a szóhasználattal kapcsolatban",fiú,magyar,magyar,Párkány,gimnázium,3.,magyar és szlovák nyelven is
